"TF","mlog10p","Enrichment","celltype","TF_prefix","mlog10padj"
"HOXD12_524",4.9705,1.19213065647375,"C1","HOXD12",4.11016199342901
"PRDM1_163",4.9424,1.10709669042851,"C1","PRDM1",4.08566611769783
"DMRT2_307",4.9105,1.19995482965684,"C1","DMRT2",4.05734057805613
"ELF3_342",4.834,1.20867317425401,"C1","ELF3",3.98438585882078
"GATA3_384",4.7563,1.25078164564599,"C1","GATA3",3.91020243254362
"HMGA1_12",4.7521,1.13516998493608,"C1","HMGA1",3.90949076038944
"NKX61_502",4.7015,1.15572564602999,"C1","NKX61",3.86235129249894
"HOXB9_529",4.673,1.19283798862863,"C1","HOXB9",3.83728446833734
"NR5A1_677",4.6536,1.1841446026359,"C1","NR5A1",3.82129071702925
"ONECUT3_296",4.6063,1.18286845973113,"C1","ONECUT3",3.78072409968822
"LIN54_297",4.6077,1.16545702471632,"C1","LIN54",3.78072409968822
"RXRA_695",4.5659,1.20964033839884,"C1","RXRA",3.74365204303715
"ZNF187_849",4.5604,1.44094419127684,"C1","ZNF187",3.74145467858723
"VTN_430",4.5449,1.26194507073057,"C1","VTN",3.72923238834847
"HOXB8_444",4.5325,1.24557715450594,"C1","HOXB8",3.72008554574619
"IRX2_527",4.4918,1.27988022045803,"C1","IRX2",3.68261451587639
"FOXC2_370",4.3774,1.22020668054935,"C1","FOXC2",3.5714196557516
"FOXD3_377",4.3695,1.12615378933175,"C1","FOXD3",3.56670131453779
"ZNF32_237",4.3109,1.23069956359832,"C1","ZNF32",3.52236909176444
"FOXO3_354",4.3134,1.23757674378473,"C1","FOXO3",3.52236909176444
"FOXE3_376",4.3134,1.23757674378473,"C1","FOXE3",3.52236909176444
"FOXD1_382",4.3134,1.23757674378473,"C1","FOXD1",3.52236909176444
"HOXB6_427",4.3096,1.23568450958879,"C1","HOXB6",3.52236909176444
"LHX4_450",4.2552,1.26796696403115,"C1","LHX4",3.47101678484644
"HOXB13_494",4.2286,1.21122633606134,"C1","HOXB13",3.44744323947663
"ARID5B_7",4.2107,1.24362501384448,"C1","ARID5B",3.43303360316582
"NKX31_517",4.2082,1.20330611368505,"C1","NKX31",3.43303360316582
"LEF1_760",4.1506,1.165307103283,"C1","LEF1",3.37839808212956
"PDX1_482",4.1408,1.26215906084993,"C1","PDX1",3.37306701579366
"PITX2_504",4.1394,1.13784113831508,"C1","PITX2",3.37306701579366
"BARX1_468",4.1245,1.17914029037155,"C1","BARX1",3.36107200643706
"PBX2_563",4.0933,1.20393429952729,"C1","PBX2",3.3511378343358
"AL8454643_566",4.0933,1.20393429952729,"C1","AL8454643",3.3511378343358
"BX2846861_573",4.0933,1.20393429952729,"C1","BX2846861",3.3511378343358
"CR8124782_575",4.0933,1.20393429952729,"C1","CR8124782",3.3511378343358
