"TF","mlog10p","Enrichment","celltype","TF_prefix","mlog10padj"
"CEBPA_155",73.1875,1.81573755982564,"C4","CEBPA",70.2479807473814
"CEBPB_140",62.8909,1.87172534267026,"C4","CEBPB",60.2524107430454
"CEBPD_152",52.7668,1.72686645684935,"C4","CEBPD",50.304402002101
"JUN_143",46.8049,1.63484845700428,"C4","JUN",44.4674407387093
"JUNB_139",41.8427,1.59392462183923,"C4","JUNB",39.6021507517174
"FOS_137",39.643,1.56487081513236,"C4","FOS",37.481631997765
"FOSL2_105",38.8102,1.58014585805874,"C4","FOSL2",36.7157787873956
"JUND_124",38.5191,1.55720710669456,"C4","JUND",36.4826707343733
"FOSL1_142",38.2492,1.5622962222261,"C4","FOSL1",36.2639232568207
"BACH1_130",36.6919,1.59719226000784,"C4","BACH1",34.7523807473814
"SMARCC1_651",35.1103,1.52389870040669,"C4","SMARCC1",33.2121734325396
"JDP2_125",31.8609,1.62694629641954,"C4","JDP2",30.000561993429
"CEBPG_128",30.3702,1.83123415783239,"C4","CEBPG",28.5446240996882
"CEBPE_107",29.2804,1.80054418808047,"C4","CEBPE",27.4870087830596
"ATF4_122",25.8828,1.68050113348046,"C4","ATF4",24.1193720064371
"BACH2_113",22.5313,1.51132780648427,"C4","BACH2",20.7959007300373
"FOSB_121",21.8724,1.4478521181953,"C4","FOSB",20.1633296687597
"HLF_112",19.9568,1.73640677331228,"C4","HLF",18.2725532524847
"NFE2_119",13.1445,1.33214381676727,"C4","NFE2",11.4837343483342
"MYPOP_652",12.7168,1.69451051138713,"C4","MYPOP",11.0783107430454
"BATF_129",12.4462,1.36444889847867,"C4","BATF",10.8289000421153
"NFE2L2_115",10.7476,1.28787300565969,"C4","NFE2L2",9.15050342820359
"TEF_134",10.3409,1.45674890354315,"C4","TEF",8.76310858339897
"HOXD8_537",10.02,1.29698300072561,"C4","HOXD8",8.46069198909299
"DBP_110",9.8475,1.59312311520359,"C4","DBP",8.30592075605342
"ARID3A_6",8.2997,1.13580859345006,"C4","ARID3A",6.78004451154037
"NFIL3_133",8.2882,1.46006804518666,"C4","NFIL3",6.78004451154037
"RUNX1_733",8.2436,1.12034018887118,"C4","RUNX1",6.7512387787236
"AC0021266_638",7.3686,1.22804847674105,"C4","AC0021266",5.90620200210104
"MEF2B_643",7.3686,1.22804847674105,"C4","MEF2B",5.90620200210104
"FUBP1_809",7.0427,1.15169531096695,"C4","FUBP1",5.59454244121565
"HMGA1_12",6.9592,1.18506633448087,"C4","HMGA1",5.52483072570129
"MEF2C_640",6.8359,1.15260891311348,"C4","MEF2C",5.41489468725927
"MEF2A_639",6.2196,1.18329911422215,"C4","MEF2A",4.81155966442364
"ZBTB3_269",5.7594,1.14763151156146,"C4","ZBTB3",4.36394879173166
"SOX18_772",5.4846,1.26506434804651,"C4","SOX18",4.10138324814867
"RUNX3_731",5.4674,1.28757333119485,"C4","RUNX3",4.09608247144838
"POU4F1_616",5.0417,1.19764221051209,"C4","POU4F1",3.68196434399819
"PITX2_504",4.9715,1.16818826755969,"C4","PITX2",3.62304535440788
"EVX2_534",4.8195,1.44798527165361,"C4","EVX2",3.48204073870934
"IRF4_632",4.7537,1.14683036895233,"C4","IRF4",3.42696460410112
"TBPL2_794",4.7073,1.20287822971612,"C4","TBPL2",3.39103003777928
"DDIT3_141",4.657,1.23455044385868,"C4","DDIT3",3.35329326115672
"IRX1_526",4.6396,1.21904641031305,"C4","IRX1",3.35329326115672
"IRX3_542",4.6396,1.21904641031305,"C4","IRX3",3.35329326115672
"MEF2D_642",4.5758,1.15787178112312,"C4","MEF2D",3.29903857906296
"HHEX_491",4.4202,1.3271589642691,"C4","HHEX",3.1527786053171
"POU1F1_610",4.3414,1.20666153385656,"C4","POU1F1",3.0920768274099
"CBFB_801",4.3461,1.17044175760212,"C4","CBFB",3.0920768274099
"SOX10_751",4.208,1.21209955635778,"C4","SOX10",2.9674507517174
"HOXA2_414",4.095,1.30185040721954,"C4","HOXA2",2.88787450720435
"IRX4_434",4.1028,1.24548318865431,"C4","IRX4",2.88787450720435
"IRX6_495",4.1028,1.24548318865431,"C4","IRX6",2.88787450720435
"POU4F3_611",4.1091,1.17687074792669,"C4","POU4F3",2.88787450720435
"MAFK_149",4.0655,1.17687781626192,"C4","MAFK",2.86634343687563
"POU4F2_615",3.9979,1.17000431334643,"C4","POU4F2",2.80656877438758
"ZNF32_237",3.9441,1.23764161591088,"C4","ZNF32",2.76800874094432
"HOXC8_399",3.9505,1.26589657247124,"C4","HOXC8",2.76800874094432
"FOXD2_374",3.8879,1.15786129935707,"C4","FOXD2",2.71923275902353
"HOXB6_427",3.8619,1.23955882869817,"C4","HOXB6",2.70053199776503
"NKX31_517",3.8412,1.20901836196283,"C4","NKX31",2.68701058239215
"FOXB1_367",3.8016,1.1557648033578,"C4","FOXB1",2.65447243687964
"HOXD4_523",3.669,1.21802771884579,"C4","HOXD4",2.52882129683496
"SOX17_764",3.6321,1.19518350853667,"C4","SOX17",2.49876072136527
"BARX1_468",3.6123,1.17924339981219,"C4","BARX1",2.48569410402424
"ZFHX3_483",3.5255,1.28737151719309,"C4","ZFHX3",2.40552468292325
"ZNF333_217",3.4373,1.29663973712797,"C4","ZNF333",2.32398966008762
"HOXD9_462",3.431,1.16314155369683,"C4","HOXD9",2.32398966008762
"MAFF_147",3.3496,1.16722864555819,"C4","MAFF",2.24927878739564
"HOXB5_445",3.3437,1.21170402525068,"C4","HOXB5",2.24927878739564
"FOXM1_352",3.3082,1.11261305232436,"C4","FOXM1",2.21993909610046
"FOXF1_351",3.2585,1.13814389722674,"C4","FOXF1",2.18534201077308
"MNX1_466",3.2498,1.18535180806478,"C4","MNX1",2.18534201077308
"IRX5_539",3.2504,1.22871330019543,"C4","IRX5",2.18534201077308
"TOPORS_814",3.2617,1.12292076955031,"C4","TOPORS",2.18534201077308
"FOXE1_371",3.1919,1.10183654148578,"C4","FOXE1",2.13319433966217
"BCL6_187",3.1672,1.14708085915577,"C4","BCL6",2.11870783867182
"FOXA1_357",3.1658,1.14829350631179,"C4","FOXA1",2.11870783867182
"SOX15_757",3.1606,1.18913018342956,"C4","SOX15",2.11870783867182
"HOXC6_561",3.1277,1.11955059574487,"C4","HOXC6",2.09127073437333
"ONECUT1_295",3.097,1.18206621348402,"C4","ONECUT1",2.06596576626003
"NKX25_550",3.0859,1.14541611839383,"C4","NKX25",2.0601945997651
"HOXB13_494",3.0667,1.18669291389089,"C4","HOXB13",2.04625883975746
"POU5F1_621",3.0312,1.14303053134548,"C4","POU5F1",2.01596003344326
"POU3F2_617",3.0057,1.19297156505834,"C4","POU3F2",1.99559967309567
"FOXI1_365",2.9819,1.1097049412615,"C4","FOXI1",1.97687919862495
"ZNF35_239",2.9478,1.10497593059566,"C4","ZNF35",1.9478
"DLX5_412",2.928,1.22478829103667,"C4","DLX5",1.93296341953155
"EVX1_419",2.9096,1.32618755892195,"C4","EVX1",1.91947075402629
"IRX2_527",2.8609,1.22696259480472,"C4","IRX2",1.87562325682071
"TBX19_787",2.787,1.27977767296257,"C4","TBX19",1.80652213970248
"FEZF1_204",2.7512,1.14867551049046,"C4","FEZF1",1.78640435267023
"FEZF2_214",2.7512,1.14867551049046,"C4","FEZF2",1.78640435267023
"VAX2_439",2.7482,1.2340644247418,"C4","VAX2",1.78640435267023
"VAX1_489",2.7482,1.2340644247418,"C4","VAX1",1.78640435267023
"ZNF713_257",2.7367,1.14539318139312,"C4","ZNF713",1.78395248164763
