tf,pval,padj,mean_difference
NR3C2,0.0,0.0,-0.0019391718467738142
NR4A1,0.0,0.0,0.00469788534887906
NR4A2,5.817525763127233e-64,6.1956649377305025e-61,0.0011688555718847513
NR4A3,5.6290925083126925e-136,5.994983521353017e-133,0.0015177671039700372
NR5A1,0.0,0.0,0.003188446474695506
NR5A2,0.0,0.0,0.003606814203439935
NR6A1,0.0,0.0,0.00221302155806297
NRF1,0.0,0.0,-0.009765877876443646
NRL,1.779070129520787e-123,1.894709687939638e-120,-5.2306190660839774e-05
OLIG1,0.0,0.0,-0.0007539217324144744
OLIG2,0.0,0.0,-0.0007874858414642968
OLIG3,0.008779596563529491,1.0,0.0007348444035487553
ONECUT1,0.0,0.0,-0.006741312188382591
ONECUT2,0.0,0.0,-0.003881105888891078
ONECUT3,0.0,0.0,-0.003115605747111734
OSR1,0.0,0.0,-0.0043552687538575535
OSR2,0.0,0.0,-0.003640786855282737
OTP,0.0,0.0,-0.002524822671854361
OTX1,4.442764971365261e-40,4.731544694504003e-37,0.0006412357607593969
OTX2,6.03855832958918e-11,6.431064621012476e-08,0.00039176625010049065
OVOL1,0.0,0.0,-0.0038024878738684743
OVOL2,0.0,0.0,-0.004773195023269594
PATZ1,0.0,0.0,-0.006047988764655593
PAX1,0.0,0.0,-0.0016925005400978271
PAX2,0.0,0.0,0.0006586182043556849
PAX3,2.1790521373284003e-104,2.3206905262547462e-101,-0.00023624123086786464
PAX4,8.926757997859139e-261,9.506997267719982e-258,-0.000496087735687099
PAX5,0.0,0.0,-0.001241181262603995
PAX6,0.0,0.0,-0.0022293916809659926
PAX7,3.8185015444979958e-239,4.066704144890365e-236,-0.0007914566036762993
PAX8,7.901662465018639e-06,0.00841527052524485,0.0006038049128960499
PAX9,1.3701025637041538e-138,1.459159230344924e-135,0.0022663791848658854
PBX1,0.0,0.0,-0.00692497453935477
PBX2,0.0,0.0,-0.003057891880427001
PBX3,7.91131318504596e-49,8.425548542073947e-46,-8.725634471098975e-05
PBX4,0.0,0.0,-0.00250623680237479
PDX1,2.2522496479715677e-205,2.39864587508972e-202,0.003978096605968609
PGR,0.0,0.0,-0.0015560248058585427
PHF1,0.0,0.0,-0.00320750311362495
PHOX2A,0.5616250068086548,1.0,0.0012877439931901803
PHOX2B,4.2628290141718716e-83,4.539912900093043e-80,-0.00024995787903330305
PITX1,1.6871334033819995e-96,1.7967970746018295e-93,0.001182052590701135
PITX2,0.0,0.0,0.0010075050549824766
PITX3,0.0,0.0,0.0023818284096418056
PKNOX1,0.0,0.0,-0.017437154262708282
PKNOX2,0.0,0.0,-0.019535288746360208
PLAG1,0.0,0.0,-0.0019831216910262753
PLAGL1,0.0,0.0,-0.004984073702173908
PLAGL2,0.0,0.0,-0.005943953436625529
POGK,0.0,0.0,-0.0043503962784965135
POU1F1,0.0,0.0,0.00633441410195127
POU2F1,2.677068931579961e-273,2.8510784121326585e-270,0.00033696252558135237
POU2F2,0.0,0.0,-0.003196471027795529
POU2F3,0.0,0.0,-0.002221016520500954
POU3F1,1.669981185010582e-182,1.77852996203627e-179,-0.0008824268082317545
POU3F2,0.0,0.0,-0.0023387175947161346
POU3F3,0.0,0.0,-0.0027506307652223963
POU3F4,1.7923664873164406e-212,1.9088703089920092e-209,-0.0006755029726655314
POU4F1,0.025149466140938978,1.0,0.0009299217325606235
POU4F2,2.281661653786273e-25,2.429969661282381e-22,0.0026503506619183284
POU4F3,0.0,0.0,-0.0010339151558281278
POU5F1,8.679752434647028e-287,9.243936342899086e-284,0.0031020305777149284
POU5F1B,0.0,0.0,-0.002377773799256898
POU6F1,1.6621441491269446e-295,1.770183518820196e-292,-0.0014388096338982404
POU6F2,1.401404777781367e-156,1.4924960883371558e-153,-0.0007090402317938178
PPARD,0.0,0.0,0.00423973599169989
PPARG,0.0,0.0,0.006600803214204143
PRDM1,0.0,0.0,-0.010192468189122235
PRDM4,0.0,0.0,-0.007926019323923575
PRDM6,0.0,0.0,-0.005944964574394567
PRDM9,0.0,0.0,-0.005858758565885984
PROP1,5.0015593089600856e-272,5.326660664042491e-269,-0.0007315197814798703
PROX1,0.0,0.0,-0.005483404123566831
