tf,pval,padj,mean_difference
ALX1,0.0,0.0,0.006584454002800522
ALX3,0.0,0.0,0.003113838071717302
ALX4,0.0,0.0,0.0032969128999577497
ANHX,0.0,0.0,0.004886135841938337
AR,0.0,0.0,0.0044396425598600495
ARGFX,0.0,0.0,0.009756491276282522
ARID3A,0.0,0.0,0.0060253818250404195
ARID3B,0.0,0.0,0.003977246807931909
ARID5A,0.0,0.0,-0.004762772705130969
ARID5B,0.0,0.0,0.004524876592930575
ARNT,0.0,0.0,0.00425979107447836
ARNT2,0.0,0.0,-0.0035251696395513787
ARNTL,0.0,0.0,-0.00205061358548099
ARX,0.0,0.0,0.007171512759493435
ASCL1,0.0,0.0,0.006870244701334315
ASCL2,0.0,0.0,0.00549360285084817
ATF1,0.0,0.0,0.0032403050578789835
ATF2,0.0,0.0,-0.010146376306424537
ATF3,0.0,0.0,-0.0046966405737653705
ATF4,0.0,0.0,0.0031850634071759476
ATF6,2.569935916690753e-250,2.7369817512756518e-247,-0.002196019574049607
ATF6B,2.1076648155529937e-19,2.2446630285639385e-16,0.0006138548174068059
ATF7,0.0,0.0,-0.015157692364805964
ATOH1,0.0,0.0,0.006117049712011477
ATOH7,4.0466764785268503e-88,4.3097104496310955e-85,0.0004155553192594806
BACH1,0.0,0.0,-0.003143157731522017
BACH2,0.0,0.0,-0.09354423838889744
BARHL1,0.0,0.0,0.004559326634372546
BARHL2,0.0,0.0,0.008014514620726356
BARX1,3.7789600493122205e-130,4.024592452517515e-127,0.000994905010085959
BARX2,0.0,0.0,0.0014265911342466967
BATF,0.0,0.0,-0.02539604263346998
BATF3,0.0,0.0,0.002099860254591912
BBX,0.0,0.0,0.007123237677001043
BCL11A,0.0,0.0,0.03565002509150225
BCL11B,6.138723658690384e-41,6.537740696505259e-38,0.000606093403216594
BCL6,0.0,0.0,0.004589266046795052
BCL6B,0.0,0.0,-0.009781690269744868
BHLHA15,0.0,0.0,0.005882416619022841
BHLHE22,9.698374253473835e-32,1.0328768579949633e-28,0.00013547193681385811
BHLHE23,0.0,0.0,0.002830210973676396
BHLHE40,8.011155241436552e-97,8.531880332129929e-94,-0.0009316565196456766
BHLHE41,0.0,0.0,-0.007354118404296284
BORCS8-MEF2B,0.0,0.0,0.011451357532589948
BSX,0.0,0.0,0.007440383856291408
CDC5L,0.0,0.0,0.004505470112609704
CDX1,0.0,0.0,-0.001690280996645184
CDX2,0.0,0.0,0.0038553237835625125
CDX4,0.0,0.0,0.0018552047169160491
CEBPA,0.0,0.0,-0.17691747018070203
CEBPB,0.0,0.0,-0.1861932357349173
CEBPD,0.0,0.0,-0.1708918791382149
CEBPE,0.0,0.0,-0.0720269042405034
CEBPG,0.0,0.0,-0.12972131644290524
CENPB,0.0,0.0,0.008166185603958896
CENPBD1,0.0,0.0,0.0024491914022363864
CIC,0.0,0.0,-0.0028441736488471828
CLOCK,0.0,0.0,0.0024778404896364306
CPEB1,0.0,0.0,0.010951274974775372
CREB1,4.089777191400554e-34,4.35561270884159e-31,-0.0002508946508360532
CREB3,0.0,0.0,0.004783197453500726
CREB3L1,0.0,0.0,0.005893938630821445
CREB3L2,2.5076563355423878e-39,2.670653997352643e-36,0.001966360869197173
CREB3L4,1.709609209247704e-18,1.8207338078488047e-15,-0.0020482991892441516
CREB5,0.0,0.0,-0.01074251770936191
CREBL2,0.0,0.0,-0.03128881393947702
CREBZF,0.0,0.0,0.0059403351191342005
CREM,0.0,0.0,-0.006411251429633585
CRX,1.3016028399552197e-225,1.386207024552309e-222,0.0021035291286552234
CTCF,0.0,0.0,0.025846879840376813
CTCFL,0.0,0.0,0.02431111205591363
CUX1,0.0,0.0,0.005912542076415688
CUX2,0.0,0.0,0.008856873887512107
CXXC1,0.0,0.0,0.004565924872979243
CXXC5,0.0,0.0,0.006610540961482168
DBP,0.0,0.0,-0.10318613235696311
DBX1,0.0,0.0,0.00708955355488744
DBX2,0.0,0.0,0.0035570053915266174
DLX1,0.0,0.0,0.0033829588859082267
DLX2,0.0,0.0,0.0030621338842405435
DLX3,0.0,0.0,0.0018561730811013808
DLX4,0.0,0.0,-0.0028472451903105243
DLX5,3.3206691646633237e-07,0.00035365126603664396,-0.00012058802892220364
DLX6,0.0,0.0,0.004029768308791883
DMBX1,0.0,0.0,0.0010600937479816712
DMRT1,0.0,0.0,0.004970461942703839
DMRT2,0.0,0.0,0.003469824153971462
DMRT3,0.0,0.0,0.00394278247897437
DMRTA1,0.0,0.0,-0.0028699079640170733
DMRTA2,0.0,0.0,0.00744397081757678
DMRTC2,0.0,0.0,0.00493689011180378
DNMT1,0.0,0.0,0.004487616478939818
DPF1,0.0,0.0,0.007130464093036427
DPRX,1.2223365064443378e-75,1.3017883793632196e-72,0.00044906813340357806
DRGX,2.894501900514118e-289,3.082644524047536e-286,0.00197157942629154
DUX4,0.0,0.0,0.0018635345754325489
DUXA,0.0,0.0,0.004529008423803226
E2F1,0.0,0.0,0.008844887879066288
E2F2,0.0,0.0,0.007590824322160392
E2F3,0.0,0.0,0.00878576912626488
E2F4,0.0,0.0,0.0069189865928886984
E2F5,0.0,0.0,0.005343984685361965
E2F6,0.0,0.0,0.005618948024253147
E2F7,0.0,0.0,0.005593143029161897
E2F8,0.0,0.0,0.01022109313111505
EBF1,6.276986837848955e-15,6.684990982309137e-12,-0.005724311882664713
EBF2,8.877008646351073e-107,9.454014208363892e-104,-0.008101761423786102
EGR1,0.0,0.0,0.015552529952640677
EGR2,0.0,0.0,0.013107848622779819
EGR3,0.0,0.0,0.012826082404983053
EGR4,0.0,0.0,0.014427140786281531
EHF,0.0,0.0,0.023347568384824324
ELF1,0.0,0.0,0.03605437256113478
ELF2,0.0,0.0,0.03284427622754668
ELF3,0.0,0.0,0.03538189267261149
ELF4,0.0,0.0,0.03853653852680203
ELF5,0.0,0.0,0.024747603740275154
ELK1,0.0,0.0,0.0469729076528822
ELK3,0.0,0.0,0.04079209728898381
ELK4,0.0,0.0,0.032880347330701803
EMX1,6.248876817944919e-247,6.655053811111338e-244,0.0018503557320106445
EMX2,0.0,0.0,0.002753783052453756
EN1,1.278398602375731e-168,1.3614945115301536e-165,0.0011305772718252192
EN2,3.4887798989082653e-293,3.7155505923373025e-290,0.002679620470120097
EOMES,0.0,0.0,0.013478966081883675
ERF,0.0,0.0,0.03504178925753029
ERG,0.0,0.0,0.005910700654060477
ESR1,0.0,0.0,-0.0062961102903949465
ESR2,0.0,0.0,-0.00842142610096713
ESRRA,0.0,0.0,-0.005922933279470546
ESRRB,0.0,0.0,-0.007935268698635457
ESRRG,0.0,0.0,-0.01579906334125184
ESX1,0.0,0.0,0.00324406774676856
ETS1,0.0,0.0,0.016099025479057533
ETS2,0.0,0.0,0.07177723109389592
ETV1,0.0,0.0,0.02069805848050922
ETV2,0.0,0.0,0.035549118450404565
ETV3,0.0,0.0,0.029635297651365182
ETV3L,0.0,0.0,0.009158994516573066
ETV4,0.0,0.0,0.025696857153600046
